x	y	t	particle
-327.2834405	-1062.50673474	3815909090.91	14
-338.785500462	-1070.75379867	3981818181.82	14
-350.063310372	-1078.82187643	4147727272.73	14
-361.130019723	-1086.72060252	4313636363.64	14
-371.997507784	-1094.45876765	4479545454.55	14
-382.676548273	-1102.04442137	4645454545.45	14
-393.176950351	-1109.48496041	4811363636.36	14
-403.507675507	-1116.78720249	4977272727.27	14
-413.676937493	-1123.95744983	5143181818.18	14
-423.692288015	-1131.00154396	5309090909.09	14
-433.560689313	-1137.92491253	5475000000.0	14
-443.288577387	-1144.73261038	5640909090.91	14
-452.881916841	-1151.42935537	5806818181.82	14
-462.346248543	-1158.01955978	5972727272.73	14
-471.686731581	-1164.50735816	6138636363.64	14
-480.908177383	-1170.89663024	6304545454.55	14
-490.015085509	-1177.19102491	6470454545.45	14
-499.01166887	-1183.39397754	6636363636.36	14
-507.901881419	-1189.50872869	6802272727.27	14
-516.689437983	-1195.53833802	6968181818.18	14
-525.37783656	-1201.48569962	7134090909.09	14
-533.970374086	-1207.35355324	7300000000.0	14
-542.470164104	-1213.14449655	7465909090.91	14
-550.88014982	-1218.86099454	7631818181.82	14
-559.203117947	-1224.50538943	7797727272.73	14
-567.441709827	-1230.07990867	7963636363.64	14
-575.598432382	-1235.58667295	8129545454.55	14
-583.67566794	-1241.02770328	8295454545.45	14
-591.675682125	-1246.40492699	8461363636.36	14
-599.600631318	-1251.72018323	8627272727.27	14
-607.452572932	-1256.97523038	8793181818.18	14
-615.233468513	-1262.17174876	8959090909.09	14
-622.945191739	-1267.31134649	9125000000.0	14
-630.589534093	-1272.39556376	9290909090.91	14
-638.168208472	-1277.42587584	9456818181.82	14
-645.682855923	-1282.40369801	9622727272.73	14
-653.135048452	-1287.33038794	9788636363.64	14
-660.526293491	-1292.20724912	9954545454.55	14
-667.85803825	-1297.0355342	10120454545.5	14
-675.131671991	-1301.81644691	10286363636.4	14
-682.348530318	-1306.55114538	10452272727.3	14
-689.509897557	-1311.24074412	10618181818.2	14
-696.617009434	-1315.88631615	10784090909.1	14
-703.671056195	-1320.48889544	10950000000.0	14
-710.673184297	-1325.04947839	11115909090.9	14
